id	name	nickname	lifetime	fullname	notes
82	East Coast Chamber Orchestra	ECCO		East Coast Chamber Orchestra 	
83	Jason Vieaux	Vieaux	(b. 1973)	Jason Vieaux (b. 1973)	
84	Roland Dyens	Dyens	(b. 1955)	Roland Dyens (b. 1955)	
85	Julien Labro	Labro		Julien Labro 	Name was spelled incorrectly (Julian) in the 2013 program book.
86	Valter Despalj	Despalj		Valter Despalj 	
87	Paul Hindemith	Hindemith	(1895–1963)	Paul Hindemith (1895–1963)	
88	Alyssa Weinberg	Weinberg	(b. 1988)	Alyssa Weinberg (b. 1988)	
89	Sergei Prokofiev	Prokofiev	(1891-1953)	Sergei Prokofiev (1891-1953)	
90	Emily Cooley	Cooley	(b. 1990)	Emily Cooley (b. 1990)	2015 Young Composer
91	Viet Cuong	Cuong	(b. 1990)	Viet Cuong (b. 1990)	2015 Young Composer
92	Ian Gottlieb	Gottlieb	(b. 1990)	Ian Gottlieb (b. 1990)	2015 Young Composer
93	Jean-Philippe Rameau	Rameau		Jean-Philippe Rameau 	
94	No Composer
